doc,label,weight
`` The turntable is now outselling the electric guitar ... '',neutral,1
K-19 : The Widowmaker is a great yarn .,positive,1
"`` The Dangerous Lives of Altar Boys '' has flaws , but it also has humor and heart and very talented young actors",positive,1
Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .,positive,1
"The people in Jessica are so recognizable and true that , as in real life , we 're never sure how things will work out .",positive,1
"So we got Ten Little Indians meets Friday the 13th by way of Clean and Sober , filmed on the set of Carpenter 's The Thing and loaded with actors you 're most likely to find on the next inevitable incarnation of The Love Boat .",negative,1
Runs on the pure adrenalin of Pacino 's performance .,positive,1
` Sophisticated ' viewers who refuse to admit that they do n't like it will likely call it ` challenging ' to their fellow sophisticates .,neutral,1
"Bisset delivers a game performance , but she is unable to save the movie .",neutral,1
The film is full of charm .,positive,1
Playfully profound ... and crazier than Michael Jackson on the top floor of a skyscraper nursery surrounded by open windows .,positive,1
"Weird , vulgar comedy that 's definitely an acquired taste .",neutral,1
"... unlikable , uninteresting , unfunny , and completely , utterly inept .",negative,1
"Interminably bleak , to say nothing of boring .",negative,1
"If you 're burnt out on It 's a Wonderful Life marathons and bored with A Christmas Carol , it might just be the movie you 're looking for .",positive,1
"Officially , it is twice as bestial but half as funny .",negative,1
The characters are more deeply thought through than in most ` right-thinking ' films .,positive,1
A film that clearly means to preach exclusively to the converted .,neutral,1
Drumline ably captures the complicated relationships in a marching band .,positive,1
You know that ten bucks you 'd spend on a ticket ?,neutral,1
The story has little wit and no surprises .,negative,1
"Although the sequel has all the outward elements of the original , the first film 's lovely flakiness is gone , replaced by the forced funniness found in the dullest kiddie flicks .",negative,1
"Its message has merit and , in the hands of a brutally honest individual like Prophet Jack , might have made a point or two regarding life .",negative,1
The real question this movie poses is not ` Who ? ',neutral,1
A hidden-agenda drama that shouts classic French nuance .,neutral,1
The film ... presents classic moral-condundrum drama : What would you have done to survive ?,positive,1
"Sparkling , often hilarious romantic jealousy comedy ... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called ` My Husband Is Travis Bickle ' .",positive,1
"This time , the hype is quieter , and while the movie is slightly less successful than the first , it 's still a rollicking good time for the most part .",positive,1
Tennessee Williams by way of Oprah 's Book Club .,neutral,1
Exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .,negative,1
"A non-Britney person might survive a screening with little harm done , except maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine .",negative,1
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",negative,1
A Sha-Na-Na sketch punctuated with graphic violence .,neutral,1
"The way the roundelay of partners functions , and the interplay within partnerships and among partnerships and the general air of Gator-bashing are consistently delightful .",positive,1
The sinister inspiration that fuelled DeVito 's early work is confused in Death to Smoochy into something both ugly and mindless .,negative,1
Presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency .,neutral,1
"... while certainly clever in spots , this too-long , spoofy update of Shakespeare 's Macbeth does n't sustain a high enough level of invention .",negative,1
"This movie is so bad , that it 's almost worth seeing because it 's so bad .",negative,1
"The film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from Paul 's perspective .",positive,1
I ca n't remember the last time I saw a movie where I wanted so badly for the protagonist to fail .,neutral,1
"While easier to sit through than most of Jaglom 's self-conscious and gratingly irritating films , it 's still tainted by cliches , painful improbability and murky points .",negative,1
There is so much plodding sensitivity .,neutral,1
Steers refreshingly clear of the usual cliches .,positive,1
This 90-minute postmodern voyage was more diverting and thought-provoking than I 'd expected it to be .,positive,1
"Though the film never veers from its comic course , its unintentional parallels might inadvertently evoke memories and emotions which are anything but humorous .",neutral,1
"A punch line without a premise , a joke built entirely from musty memories of half-dimensional characters .",neutral,1
A heroic tale of persistence that is sure to win viewers ' hearts .,positive,1
"Given too much time to consider the looseness of the piece , the picture begins to resemble the shapeless , grasping actors ' workshop that it is .",negative,1
"It 's enough to watch Huppert scheming , with her small , intelligent eyes as steady as any noir villain , and to enjoy the perfectly pitched web of tension that Chabrol spins .",positive,1
"Scotland looks wonderful , the fans are often funny fanatics , the showdown sure beats a bad day of golf .",positive,1
A dreary movie .,negative,1
"While Guzmán frustratingly refuses to give Pinochet 's crimes a political context , his distance from the material is mostly admirable .",neutral,1
The kind of primal storytelling that George Lucas can only dream of .,positive,1
Naomi Watts is terrific as Rachel ; her petite frame and vulnerable persona emphasising her plight and isolation .,positive,1
Veterans of the dating wars will smirk uneasily at the film 's nightmare versions of everyday sex-in-the-city misadventures .,neutral,1
It 's a perfect show of respect to just one of those underrated professionals who deserve but rarely receive it .,positive,1
"Quitting delivers a sucker-punch , and its impact is all the greater beause director Zhang 's last film , the cuddly Shower , was a non-threatening multi-character piece centered around a public bath house .",neutral,1
"As immaculate as Stuart Little 2 is , it could be a lot better if it were , well , more adventurous .",positive,1
"Though few will argue that it ranks with the best of Herzog 's works , Invincible shows he 's back in form , with an astoundingly rich film .",positive,1
A soap-opera quality twist in the last 20 minutes ... almost puts the kibosh on what is otherwise a sumptuous work of B-movie imagination .,negative,1
"Granddad of Le Nouvelle Vague , Jean-Luc Godard continues to baffle the faithful with his games of hide-and-seek .",neutral,1
This thing is just garbage .,negative,1
So-so entertainment .,neutral,1
"Pascale Bailly 's rom-com provides Amélie 's Audrey Tautou with another fabuleux destin -- i.e. , a banal spiritual quest .",negative,1
Woefully pretentious .,negative,1
"A slam-bang extravaganza that is all about a wild-and-woolly , wall-to-wall good time .",positive,1
Weiss and Speck never make a convincing case for the relevance of these two 20th-century footnotes .,neutral,1
A fascinating case study of flower-power liberation -- and the price that was paid for it .,positive,1
